ChEBI	Count	TFIDF	Names	Mass	logP	Class
3044	1	2	benzphetamine	239.35530	4.22	['32876', '35338', '50996', '32952', '50047', '35352', '50860', '33285', '51143', '33582', '50860', '33302', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
3048	8	12	benzatropine	307.42930	3.84	['50996', '50047', '35352', '50860', '33285', '51143', '33582', '50860', '33302', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
3070	26	37	Bestatin	308.373	-2.04	['16670', '37622', '50047', '36963', '35352', '33256', '50860', '36962', '25806', '33285', '51143', '32988', '33582', '33285', '33304', '50860', '33302', '51143', '33675', '50860', '33675', '33582', '33302', '33579', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
3087	25	35	betulinic acid	456.70030	7.28	['25872', '35868', '36615', '51958', '25384', '24669', '26873', '33832', '33635', '33575', '33822', '24913', '72695', '33595', '36586', '35605', '64709', '24651', '50860', '18059', '50860', '25367', '36587', '36963', '24833', '25806', '33608', '37577', '33582', '50860', '33582', '36357', '72695', '36962', '25806', '24651', '33304', '33674', '33675', '33582', '33675', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33579', '33675', '33579', '24431', '33582', '36357', '50860', '33304', '33674', '23367', '33579', '23367', '33675', '33582', '24431', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
3092	3	4	bicuculline	367.35210	2.15	['24921', '24922', '22750', '22315', '38101', '38166', '24921', '35352', '24532', '33671', '22315', '33285', '51143', '5686', '33832', '33635', '35352', '50860', '33302', '33595', '72695', '33285', '51143', '33582', '33675', '25367', '50860', '33302', '33675', '33579', '36357', '33582', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
3103	1	2	bilobalide	326.29860	0.43	['37667', '26658', '37668', '26873', '25000', '24913', '33308', '38104', '35701', '18059', '50860', '36586', '35701', '24532', '36963', '50860', '33582', '36587', '36963', '33285', '5686', '33832', '36962', '25806', '33582', '33675', '72695', '36962', '25806', '50860', '33595', '33285', '33304', '33675', '33579', '50860', '25367', '33285', '33304', '33582', '33579', '23367', '33582', '36357', '50860', '33675', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
3127	1	1	bisoprolol	325.44308	2.27	['35681', '32863', '30879', '50995', '32952', '33822', '50047', '24651', '50860', '35352', '25806', '33608', '37577', '33582', '33285', '51143', '33304', '33674', '36357', '33675', '50860', '33302', '33675', '33579', '23367', '33582', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
3136	1	2	bixin	394.511	5.19	['35311', '36244', '25248', '27325', '26208', '33308', '33575', '131927', '23044', '27208', '36586', '35701', '35605', '64709', '26935', '35366', '36587', '36963', '24833', '50860', '26873', '25384', '18059', '72695', '36962', '25806', '24651', '33582', '24913', '33575', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '18059', '50860', '36586', '35605', '64709', '33582', '36357', '33675', '33304', '33674', '33579', '50860', '33582', '36587', '36963', '24833', '33675', '23367', '33579', '33582', '33675', '72695', '36962', '25806', '24651', '33579', '24431', '23367', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '24431', '33579', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '24431', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
3168	6	10	brassicasterol	398.675	8.58	['50403', '35348', '26125', '35341', '15889', '36836', '26124', '51958', '18059', '36834', '35681', '35350', '33832', '33635', '50860', '35350', '30879', '33822', '35341', '72695', '33595', '33582', '33822', '35341', '24651', '50860', '51958', '18059', '50860', '25367', '33675', '24651', '51958', '18059', '25806', '33608', '37577', '33582', '33832', '33635', '33582', '36357', '33579', '25806', '33608', '37577', '33832', '33635', '50860', '33304', '33674', '33675', '72695', '33595', '33675', '23367', '33304', '33674', '36357', '72695', '33595', '33582', '33579', '50860', '25367', '33579', '24431', '33675', '23367', '50860', '25367', '33582', '36357', '23367', '33579', '24431', '33582', '36357', '33675', '24431', '23367', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
3203	1	2	Bucharaine	331.407	1.99	['26513', '38101', '33659', '24532', '35352', '33655', '33832', '33285', '5686', '33832', '51143', '33595', '72695', '50860', '33595', '72695', '33302', '25367', '33582', '25367', '50860', '33675', '36357', '33675', '36357', '33582', '33579', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
3216	6	6	buprenorphine	467.64010	4.57	['25418', '24921', '22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
3240	1	2	butoconazole	411.77600	5.44	['24780', '35683', '23697', '83403', '87069', '87071', '23677', '16385', '23132', '86420', '86323', '68452', '68452', '33261', '26822', '22712', '36683', '24780', '38179', '38101', '38179', '38101', '36962', '26835', '33836', '17792', '23117', '23677', '33833', '24532', '35352', '33833', '24532', '35352', '33285', '33304', '33659', '33598', '37578', '24471', '68452', '5686', '33832', '51143', '33659', '24532', '33285', '5686', '33832', '51143', '50860', '33675', '33655', '33597', '24471', '37577', '38179', '38101', '33595', '72695', '33302', '33655', '33832', '33285', '5686', '50860', '33595', '72695', '33302', '33582', '33579', '33675', '36357', '33833', '24532', '35352', '25367', '33595', '72695', '50860', '33582', '25367', '33675', '23367', '33579', '33659', '24532', '33285', '5686', '33832', '51143', '36357', '25367', '50860', '33582', '33675', '36357', '33579', '24431', '23367', '33655', '33832', '33285', '5686', '33595', '72695', '33302', '36357', '33582', '33675', '33579', '23367', '24431', '33595', '72695', '50860', '25367', '23367', '33675', '33579', '24431', '25367', '50860', '33582', '36357', '24431', '33579', '23367', '36357', '33582', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
3311	2	2	calcium carbonate	100.087	-0.308	['35156', '46721', '64708', '22985', '36364', '23016', '50860', '33299', '24866', '36963', '33582', '33674', '37577', '36962', '25806', '33675', '33579', '36357', '33285', '33304', '23367', '50860', '33675', '24431', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
3312	1	1	calcium dichloride	110.98340	-3.08	['35156', '36093', '22985', '36364', '23114', '24839', '33299', '24866', '33958', '23117', '24835', '33674', '37577', '24866', '37578', '24471', '23367', '33579', '36357', '37577', '24471', '33675', '24431', '23367', '36357', '33675', '33579', '24431', '23367', '33579', '24431', '23367', '24431']
3336	1	2	Calystegin A3	159.183	-1.84	['26151', '38101', '25693', '24532', '35352', '33670', '33285', '5686', '33832', '51143', '33661', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
3360	1	2	Cannabinol	310.431	7.28	['39203', '38104', '38166', '24532', '36963', '33671', '33285', '5686', '33832', '36962', '25806', '33635', '50860', '33595', '72695', '33285', '33304', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
3362	1	2	canthaxanthin	564.83968	7.91	['35310', '27325', '23044', '26935', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
3368	1	2	capillarisin	316.263	3.05	['23403', '38445', '26004', '23232', '33659', '38443', '33655', '33832', '22727', '33595', '72695', '38104', '38166', '25367', '50860', '24532', '36963', '33671', '36357', '33582', '33285', '5686', '33832', '36962', '25806', '33635', '23367', '33675', '50860', '33595', '72695', '33285', '33304', '24431', '33579', '33582', '25367', '50860', '33675', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
3374	12	13	capsaicin	305.41190	3.95	['46931', '29348', '61697', '18059', '29347', '50860', '37622', '33582', '36963', '35352', '33256', '33675', '36962', '25806', '33285', '51143', '32988', '33579', '33285', '33304', '50860', '33302', '51143', '23367', '50860', '33675', '33582', '33302', '24431', '33582', '33579', '33675', '33675', '23367', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
3385	1	1	carbachol	182.64900	-3.28	['47704', '23003', '35276', '33308', '51143', '36586', '35701', '33302', '36587', '36963', '33675', '72695', '36962', '25806', '33579', '50860', '25367', '33285', '33304', '23367', '33582', '36357', '50860', '33675', '24431', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
