ChEBI	Count	TFIDF	Names	Mass	logP	Class
2030	13	20	5-aminoimidazole-4-carboxamide	126.11660	-0.993	['22512', '29347', '24780', '37622', '23677', '36963', '35352', '33256', '68452', '36962', '25806', '33285', '51143', '32988', '38179', '38101', '33285', '33304', '50860', '33302', '51143', '33833', '24532', '35352', '50860', '33675', '33582', '33302', '33659', '24532', '33285', '5686', '33832', '51143', '33582', '33579', '33675', '33655', '33832', '33285', '5686', '50860', '33595', '72695', '33302', '33675', '23367', '33579', '33595', '72695', '50860', '33582', '25367', '33675', '33579', '24431', '23367', '25367', '50860', '33582', '33675', '36357', '33579', '23367', '24431', '36357', '33582', '33675', '33579', '23367', '24431', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
2038	3	4	5-azacytidine	244.20484	-2.11	['48009', '60783', '21731', '26588', '35352', '63161', '63299', '38102', '33285', '51143', '63299', '78616', '38101', '25693', '50893', '50860', '33302', '78616', '36963', '24532', '35352', '33670', '38101', '33833', '33582', '33675', '36963', '36962', '25806', '33285', '5686', '33832', '51143', '33661', '24532', '35352', '33659', '33675', '33579', '36962', '25806', '33285', '33304', '50860', '33595', '72695', '33302', '5686', '33832', '51143', '33655', '33579', '23367', '33285', '33304', '50860', '33675', '33582', '25367', '33595', '72695', '33302', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '25367', '24431', '33582', '33579', '33675', '23367', '36357', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
2089	8	13	O-methylserotonin	190.24170	1.14	['27162', '35618', '24828', '25698', '33659', '22728', '36963', '33655', '33832', '27171', '38101', '38180', '36962', '25806', '33595', '72695', '33672', '38166', '24532', '35352', '33833', '33285', '33304', '25367', '50860', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33659', '50860', '33675', '36357', '33582', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33655', '33582', '33579', '23367', '33675', '25367', '50860', '33595', '72695', '33582', '33675', '23367', '24431', '33579', '36357', '33582', '25367', '50860', '33675', '33579', '24431', '23367', '23367', '33675', '36357', '33582', '33579', '24431', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
2181	1	2	L-fucopyranose	164.15650	-2.13	['18287', '48206', '33984', '18133', '23622', '35381', '23628', '16646', '23639', '33917', '78616', '16646', '15693', '18133', '36963', '78616', '35381', '36962', '25806', '36963', '16646', '33285', '33304', '36962', '25806', '78616', '50860', '33675', '33285', '33304', '36963', '33582', '33579', '50860', '33675', '36962', '25806', '33675', '23367', '33582', '33579', '33285', '33304', '33579', '24431', '33675', '23367', '50860', '23367', '33579', '24431', '33582', '24431', '23367', '33675', '24431', '33579', '23367', '24431']
2208	2	4	purine-6-thiol	152.17822	0.293	['82711', '29256', '33261', '36962', '26835', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
2365	23	26	(+)-abscisic acid	264.31690	1.3	['22152', '62431', '36758', '79020', '134397', '26658', '53183', '25384', '134361', '26878', '26873', '24913', '33575', '30879', '78840', '24913', '18059', '50860', '36586', '35605', '64709', '33822', '18059', '50860', '33582', '36587', '36963', '24833', '24651', '50860', '33582', '33675', '72695', '36962', '25806', '24651', '33608', '37577', '33582', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33674', '36357', '33675', '33579', '23367', '33582', '36357', '50860', '33304', '33674', '33579', '23367', '24431', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
2404	4	6	acetosyringone	196.19988	1.43	['22187', '51681', '33853', '76224', '51867', '51683', '33659', '33822', '17087', '35618', '22712', '33655', '33832', '24651', '50860', '36586', '25698', '33659', '33836', '33595', '72695', '25806', '33608', '37577', '33582', '36587', '36963', '33655', '33832', '33659', '33598', '25367', '50860', '33304', '33674', '36357', '33675', '72695', '36962', '25806', '33595', '33655', '33832', '33597', '36357', '33582', '33675', '33579', '23367', '50860', '25367', '33285', '33304', '33595', '72695', '23367', '33675', '33579', '24431', '33582', '36357', '50860', '33675', '25367', '24431', '33579', '23367', '33675', '23367', '33582', '33579', '36357', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
2422	1	2	acetohydrazide	74.08192	-1.37	['35363', '35362', '35352', '51143', '33285', '33302', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
2504	6	8	aflatoxin B1	312.27358	2.27	['22271', '35618', '76224', '48210', '25698', '33659', '17087', '38164', '38104', '36963', '33655', '33832', '36586', '38166', '24532', '36963', '36962', '25806', '33595', '72695', '36587', '24532', '33671', '33285', '5686', '33832', '36962', '25806', '33304', '25367', '50860', '72695', '33285', '5686', '33832', '33635', '50860', '33595', '72695', '33304', '33675', '36357', '33582', '25367', '50860', '33595', '72695', '33582', '25367', '33675', '33579', '23367', '36357', '33582', '25367', '50860', '33675', '36357', '33579', '23367', '24431', '33675', '36357', '33582', '33579', '23367', '24431', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
2533	1	2	alachlor	269.76700	3.09	['36683', '29347', '62733', '17792', '23117', '37622', '32988', '33659', '33285', '37578', '24471', '36963', '35352', '33256', '51143', '33655', '33832', '50860', '24471', '37577', '33675', '36962', '25806', '33285', '51143', '32988', '33302', '33595', '72695', '33582', '33675', '36357', '33579', '33285', '33304', '50860', '33302', '51143', '25367', '33675', '33579', '23367', '50860', '33582', '33302', '36357', '33579', '23367', '24431', '33582', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
